52,6320,0,0070
52,7430,0,0070
51,5470,0,0070
53,1200,0,0090
52,7860,0,0080
51,2930,0,0070
51,8910,0,0070
51,6610,0,0070
50,6640,0,0070
52,8560,0,0070
52,7800,0,0080
51,4070,0,0070
53,2080,0,0080
52,4320,0,0070
50,3510,0,0070
53,3450,0,0080
49,3160,0,0060
51,9280,0,0070
53,7060,0,0080
50,6330,0,0060
51,8700,0,0070
51,7560,0,0070
53,7750,0,0080
54,3060,0,0080
52,2740,0,0060
53,4540,0,0080
52,1690,0,0070
49,5870,0,0070
52,3210,0,0070
50,9300,0,0070
52,9270,0,0070
53,8730,0,0090
50,9080,0,0090
53,1220,0,0080
53,5150,0,0080
51,3320,0,0070
52,2860,0,0080
50,5600,0,0080
51,4460,0,0080
52,3910,0,0070
53,5850,0,0080
53,7570,0,0080
52,6630,0,0070
51,2170,0,0080
52,0850,0,0070
51,4070,0,0070
51,3170,0,0070
51,5750,0,0080
51,7090,0,0080
52,0830,0,0070
51,0430,0,0070
50,2420,0,0080
52,6900,0,0070
53,1850,0,0080
51,1560,0,0080
51,9790,0,0070
51,5630,0,0070
52,8560,0,0070
51,7370,0,0070
53,0320,0,0070
50,8010,0,0080
50,7520,0,0070
53,6560,0,0070
52,8150,0,0060
50,3900,0,0080
51,2460,0,0070
52,8130,0,0070
53,5360,0,0080
50,1310,0,0080
51,8950,0,0080
53,1480,0,0070
49,6050,0,0070
54,0370,0,0090
51,9710,0,0070
52,3910,0,0070
49,8180,0,0070
51,5940,0,0080
51,9170,0,0070
50,4280,0,0070
52,9560,0,0080
50,2240,0,0080
50,5390,0,0080
50,8140,0,0080
49,7380,0,0060
51,5060,0,0070
50,9530,0,0070
49,5600,0,0080
50,4430,0,0080
51,2990,0,0070
49,7280,0,0080
53,1500,0,0080
51,1470,0,0060
51,0530,0,0070
49,9610,0,0060
50,6230,0,0070
50,6780,0,0070
50,4370,0,0070
49,7690,0,0070
50,1290,0,0070
50,9730,0,0080
48,5030,0,0070
50,9980,0,0080
51,0450,0,0060
53,0090,0,0070
49,8370,0,0070
51,7020,0,0070
50,6890,0,0070
52,1280,0,0070
52,5910,0,0070
53,4150,0,0090
53,1340,0,0070
53,2960,0,0080
51,1490,0,0070
50,0800,0,0080
52,7310,0,0070
50,0090,0,0080
50,1540,0,0070
48,7450,0,0070
49,7240,0,0070
53,5810,0,0070
